No,ISO Tk No.,Serial No.,Location,Position,REMARKS
98,ISOT - 98,SIMU-8111018,Ship,MV. SAVIOUR,-
99,ISOT - 99,SIMU-8111173,Ship,MV. SAVIOUR,-
100,ISOT - 100,SIMU-8111213,Ship,MV. SAVIOUR,-
101,ISOT - 101,SIMU-8111229,Ship,MV. SAVIOUR,-
102,ISOT - 102,SIMU-8111255,Ship,MV. SAVIOUR,-
103,ISOT - 103,SIMU-8111297,ORU NIAS,LAYDOWN 1,Laden LNG ISOTANK 59% (13 August 2026)
104,ISOT - 104,SIMU-8111300,Ship,MV. SAVIOUR,-
105,ISOT - 105,SIMU-8111316,Ship,MV. SAVIOUR,-
106,ISOT - 106,SIMU-8111321,Ship,SAVIOUR,-
107,ISOT - 107,SIMU-8111342,Ship,MV. SAVIOUR,-
108,ISOT - 108,SIMU-8111419,Ship,MV. SAVIOUR,-
109,ISOT - 109,SIMU-8111511,Ship,MV. SAVIOUR,-
110,ISOT - 110,SIMU-8111614,Aceh,LAYDOWN PAG,-
111,ISOT - 111,SIMU-8111635,Ship,MV. SAVIOUR,-
112,ISOT - 112,SIMU-8111640,Ship,MV. SAVIOUR,-
113,ISOT - 113,SIMU-8111661,Ship,MV. SAVIOUR,-
114,ISOT - 114,SIMU-8112544,Ship,MV. SAVIOUR,-
115,ISOT - 115,SIMU-8112987,Ship,MV. SAVIOUR,-
116,ISOT - 116,SIMU-8113129,Ship,MV. SAVIOUR,-
117,ISOT - 117,SIMU-8113134,Ship,MV. SAVIOUR,-
118,ISOT - 118,SIMU-8113140,Ship,MV. SAVIOUR,-
119,ISOT - 119,SIMU-8113155,Ship,MV. SAVIOUR,-
120,ISOT - 120,SIMU-8113176,ORU NIAS,LAYDOWN 1,Laden LNG ISOTANK 66% (13 August 2026)
